filename,creator,date,description,publisher,subject,subject_2,yontem,period,important_names,important_institutions,place_of_birth,latitude,longitude,veriyi_giren
Türk Sinemasında 6 Yönetmen,Giovanni Scognamillo,1973,Türk Sinemasında 6 Yönetmen,Türk Film Arşivi Yayını,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Lütfi Ö. Akad;Atıf Yılmaz Batıbeki;Metin Erksan;Halit Refiğ;Osman Seden;Memduh Ün,,Şişli,41.059444,28.986667,Azra Alper
"Yılmaz Güney, Yücel Çakmaklı, Ömer Kavur, Süreyya Duru ile Konuşmalar",Oktay Aras,1974,"Yılmaz Güney, Yücel Çakmaklı, Ömer Kavur, Süreyya Duru ile Konuşmalar",Sinematek Eskişehir İtia Yayını,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Hatırat,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Lütfi Ömer Akad;Yavuz Turgut,,,,,Azra Alper
Yönetmenler Çerçevesinde Türk Sineması,Kurtuluş Kayalı;Kamil Koç,1994,Yönetmenler Çerçevesinde Türk Sineması,Ayyıldız Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Lütfi Ömer Akad;Nuri Bilge Ceylan;Zeki Demirkubuz;Yeşim Ustaoğlu,,Kırşehir,39.145556,34.160833,Azra Alper
"65 Yönetmenimizden Yerlilik,
 Ulusallık, Evrensellik
 Gerilimde Sinemamız",Artun Yeres,2005,"65 Yönetmenimizden Yerlilik,
 Ulusallık, Evrensellik
 Gerilimde Sinemamız",Donkişot Güncel Yayınlar,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,,,,,,
10 Yönetmen ve Türk Sineması: Tür - Anlayış - Farklılık,Ertekin Akpınar;Ertekin Akpınar,2005,10 Yönetmen ve Türk Sineması: Tür - Anlayış - Farklılık,Agora Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Yeşim Ustaoğlu;Nuri Bilge Ceylan;Zeki Demirkubuz;Yeşim Ustaoğlu;Tolga Karaçelik;Lütfi Ömer Akad;Çağan Irmak;Atıf Yılmaz;Onur Ünlü,,Erzurum,39.908611,41.276944,Azra Alper
Türk Sinemasına Yeni Bakış: Yönetmen Sineması,Nigar Pösteki,2005,Türk Sinemasına Yeni Bakış: Yönetmen Sineması,Es Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,,,,,,Azra Alper
"Asıl Film Şimdi Başlıyor: Lütfi Akad, Metin Erksan, Yılmaz Güney, Yavuz Turgul, ve Türk Sineması",Sadık Battal;Sadık Battal,2006,"Asıl Film Şimdi Başlıyor: Lütfi Akad, Metin Erksan, Yılmaz Güney, Yavuz Turgul, ve Türk Sineması",Vadi Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Lütfi Ömer Akad;Yavuz Turgul,,,,,Azra Alper
Türk Sineması’nın Ustalarından Sinema Dersler,Pınar Tınaz Gürmen,2006,Türk Sineması’nın Ustalarından Sinema Dersler,İnkılap Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Hatırat,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Lütfi Ömer Akad;Yavuz Turgul;Ömer Kavur,,,,,Azra Alper
İstanbul Film Festivali’nin 30 Yılından 20 Yönetmen,Cem Alpan,2011,İstanbul Film Festivali’nin 30 Yılından 20 Yönetmen,İstanbul Kültür Sanat Vakfı,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Yılmaz Güney;Nuri Bilge Ceylan;Metin Erksan;Lütfi Akad;Yavuz Turgul;Reha Erdem;Ömer Kavur;Çağan Irmak;Fatih Akın;Emin Alper,,,,,Azra Alper
Altın Portakal’da 50 Yılın En İyi Filmleri ve En İyi Yönetmenleri,Tunca Arslan;Kıvanç M. Kırca,2013,Altın Portakal’da 50 Yılın En İyi Filmleri ve En İyi Yönetmenleri,AKSAV Yayınları,Sanatçı Hatıratları,Sinema ve sanat odaklı hatırat,Başarı Anlatıları,Cumhuriyet Dönemi,Yılmaz Güney;Metin Erksan;Lütfi Ömer Akad;Atıf Yılmaz;Nuri Bilge Ceylan,,,,,Azra Alper
